Gene,GSM461348,GSM461349,GSM461350,GSM1634925,GSM1634926,GSM1634927,GSM1634928,GSM1634937,GSM1634938,GSM1634939,GSM1701025,GSM1701026,GSM1701027,GSM1701038,GSM1701039,GSM1701040
FANCB,6.49254,9.54228,15.6315,7.036766,9.002768,8.74873,5.793062,9.362608,8.888435,8.966418,2.0209,2.44164,2.09592,2.22173,2.95873,1.97944
AREG,5.6586,1.71965,16.9375,6.253023,8.183638,7.548946,5.8483,8.437215,8.275238,9.198807,2.25953,2.52798,2.02938,4.13399,2.35602,1.76512
DPY19L2P3,14.2469,22.2208,18.7628,6.328066,8.701093,9.189277,5.098189,8.198421,10.6373,9.866533,2.34347,2.01864,2.41369,2.0876,2.60679,2.10798
ALDH1A2-AS1,6.98955,4.41479,9.76023,4.753602,5.378947,4.278172,4.182122,7.503279,6.024255,6.70964,1.80952,2.07822,1.9833,1.75738,2.27101,1.71612
CCDC144BP,6.44987,6.14695,11.3034,3.772802,10.98991,4.680634,4.830509,3.155808,2.985008,2.943839,2.48132,1.49878,1.41083,4.82161,1.946,1.77033
LINC01487,12.6392,13.8833,16.468,4.292513,10.06988,8.163136,4.958193,3.699202,5.946606,8.606441,1.94012,1.94315,1.8976,3.08146,2.07426,1.93911
TMEM59,6.27773,6.83199,6.55004,4.963991,9.196905,8.838587,5.293417,9.164409,8.832828,9.525787,2.01302,1.97497,1.97045,2.07994,2.01302,2.08956
LOC100507634,13.4136,9.99135,4.1449,3.730206,6.326993,7.646041,4.269607,6.49175,4.944454,5.406499,1.98194,1.46472,1.60684,2.22173,1.35539,1.75484
SLC26A5-AS1,6.95369,29.8083,12.9764,3.911985,9.061864,9.331638,4.012325,8.664005,8.181462,8.286466,1.54201,1.62411,1.63667,1.92108,1.71477,1.72149
LOC101928002,14.3728,11.5224,7.45016,4.928558,10.06762,9.730552,5.371508,9.252886,9.11867,9.662119,2.02044,1.65114,1.98832,2.1765,2.24319,1.78461
LINC02436,8.90835,4.67899,5.55357,5.662398,6.162924,8.440348,6.587055,9.706939,8.273151,8.196203,1.84725,1.99195,1.7834,1.89027,1.70686,1.7834
GATM,5.969,4.09067,7.54226,9.33138,8.000555,7.783057,8.98831,6.632224,6.795315,7.713771,1.49138,1.54012,1.97288,2.22173,1.60054,1.88107
MARCHF7,9.59199,3.47688,3.24105,5.607666,7.229795,7.371074,5.700357,8.873981,9.914476,9.229144,1.93859,2.28722,1.98101,2.14362,2.33403,2.08956
LINC00550,4.89596,10.9191,7.1422,5.698795,6.697791,5.772597,5.922344,6.630613,4.879801,5.90234,1.60236,1.72157,1.60561,2.72744,2.0022,1.92355
UST-AS1,10.1115,10.6469,11.3589,7.223573,10.47447,10.59187,8.114099,10.09639,9.095881,10.01185,1.38197,1.83524,1.67169,3.35897,1.7166,1.68353
PURPL,3.75234,3.41704,3.59533,4.897593,10.71507,11.00072,5.240046,11.15322,10.90561,11.05803,2.10593,1.56228,1.62799,2.45998,1.61022,1.68822
LINC02996,10.4283,7.664,11.1627,5.785023,7.032176,7.683832,5.941749,8.681357,9.325857,9.712328,1.90531,1.53931,1.86695,2.18691,1.56224,1.76151
PLA2G4E-AS1,14.1729,12.0675,7.25815,11.95743,11.08843,11.86429,12.44741,11.84644,11.7365,11.65618,1.85981,1.99552,2.46083,2.63973,2.06613,1.75394
PLA2G4E-AS1,13.5607,8.23071,8.11871,8.339785,9.707607,7.931463,8.759798,9.850492,9.127728,9.152817,1.7655,1.57771,1.51637,2.28472,2.29721,1.91721
LINC02052,13.4066,9.69567,16.5887,6.611968,5.225224,5.822513,5.284776,5.851968,5.758771,5.588418,1.71086,1.93196,1.68927,2.80729,1.87753,1.54246
SLC1A2,13.2166,10.6509,13.1971,7.604001,9.292018,11.3053,7.35944,9.472054,8.450485,10.64806,1.56009,1.68758,1.78936,2.06222,1.58262,1.51111
CSRNP3,6.23579,11.108,15.955,4.802155,4.466946,4.639827,5.286961,5.85225,6.546584,6.67724,1.79278,1.75047,1.8485,1.88411,1.9889,1.94177
PGK1,13.8436,24.7357,17.8581,7.403323,6.437855,6.356346,7.46803,5.275001,5.974384,5.828931,2.81578,3.37487,3.40493,2.75204,3.23958,2.30822
TERLR1,4.92368,5.69888,4.68124,9.985732,8.206017,9.007286,10.07015,10.09775,10.88991,10.1764,1.9024,1.6595,1.88413,2.29634,1.57043,1.7845
LINC00622,13.6374,13.04,21.9408,5.343818,6.334219,5.610588,5.085596,6.038613,5.382369,5.78884,4.19061,2.58467,3.97441,3.12119,2.9001,2.34141
C2CD6,12.1272,19.499,20.6284,5.201294,9.62338,8.682985,6.234552,8.250212,7.683566,8.407163,1.75581,1.88461,2.49499,2.04187,2.11791,1.58526
UGGT2,10.2563,3.51649,5.6319,6.983563,7.295543,6.635982,6.228951,6.857402,8.358229,9.330263,3.18497,2.90455,2.69445,3.29324,2.71705,2.71998
VPS35L,11.0279,7.29977,15.6054,6.227481,8.643353,8.365751,5.114952,8.267403,8.980879,9.218426,1.46384,1.47626,1.64416,2.86372,1.99155,1.46636
LOC105371215,14.1237,13.487,23.2285,3.830405,7.317657,7.047909,4.023026,7.777794,8.193655,8.333478,1.54106,1.79538,1.71871,3.4803,1.84601,1.58495
ADAMTS5,8.53365,15.2187,14.0708,6.04895,9.606453,10.69507,6.669449,10.74985,12.22751,10.81714,1.81745,1.70245,1.86695,3.42835,2.14967,1.83064
MIR133A1HG,9.65577,4.68013,2.70553,5.858387,7.875118,7.519289,5.473951,7.720857,8.095705,8.06608,1.88487,1.7299,1.87622,2.50314,2.29812,1.99373
SPATA22,14.7771,31.4642,30.8813,6.842323,5.844455,6.92381,6.675317,7.811727,7.434701,8.515964,1.79278,1.58056,1.6464,1.78437,1.65221,1.94878
ZNF620,9.19138,13.9186,9.81454,6.383851,6.971269,5.25846,5.429421,6.578742,6.268637,6.116106,2.70228,1.9082,1.7243,1.72842,1.74711,1.76601
ZNF763,6.3084,6.38653,10.2519,6.031009,4.75046,5.033773,4.999183,5.157965,5.130646,5.827091,2.82527,2.24645,2.17196,2.84223,1.8977,2.85796
FRY-AS1,6.48282,3.31181,3.34219,6.333982,5.159966,4.866874,6.350013,5.175394,4.314123,5.283269,1.8812,1.38838,1.50982,2.44464,1.65747,1.62913
AKNAD1,12.5299,17.7891,27.8522,5.423731,8.531031,6.576625,6.251259,7.43212,7.828399,8.905052,1.79278,1.52318,1.37907,1.97043,1.58207,1.49473
HTATSF1P2,6.12041,13.7133,5.2066,8.29343,10.44648,10.30816,8.144542,10.68057,10.75561,9.336388,1.97893,2.00394,1.39402,1.94289,1.67191,1.42044
ZNF816-ZNF321P,13.2673,16.4032,24.7005,5.020173,10.68543,11.06016,7.856829,10.0701,9.762912,8.959443,1.6583,1.92349,1.85724,2.35562,1.82207,2.43221
ZNF816-ZNF321P,11.8283,13.5696,23.5088,5.435378,3.813967,4.431078,5.666945,6.084027,3.992591,7.055508,2.2442,2.00438,2.24897,3.53763,2.56415,2.03404
CACNA1A,12.0318,13.6606,11.6813,7.284158,9.951523,10.03613,7.103406,10.62051,9.867873,10.111,1.62332,1.57225,1.82168,2.74298,1.9771,1.48053
FAT3,10.0596,21.4178,14.6267,6.155777,8.377356,9.001263,6.444577,8.345917,8.813337,7.516297,1.87863,1.93196,2.15605,2.30277,2.03124,2.05423
C18orf21,10.081,14.7856,22.0584,5.679129,7.752287,5.433839,4.790364,6.266957,6.958463,6.291456,1.72013,1.74382,2.0762,1.99495,1.55269,1.62058
PDPR2P,0.807079,0.478548,1.43053,6.18546,5.707352,6.048405,5.605894,5.175141,5.35208,5.673481,1.95138,1.81831,1.62268,1.84386,1.44583,1.58308
LOC644135,14.8421,16.5428,24.3715,4.897746,5.755291,6.367997,5.445178,6.819903,6.917764,6.651741,1.84923,1.80507,2.21103,2.06938,1.946,1.90254
ZNF546,0.948628,0.315067,2.60366,5.046536,11.1912,11.03339,6.440578,10.45959,9.519148,9.037215,1.69419,1.82235,2.03943,1.66752,1.74219,1.97609
ZNF732,14.2478,10.7775,8.95811,5.280545,4.503102,5.092334,5.455054,4.55757,4.585925,4.369314,1.63845,1.97965,1.62842,1.91496,1.87468,1.78279
ZNF732,9.66444,12.5983,10.6374,5.893236,4.438438,4.771914,6.13421,2.781297,5.832992,2.786471,1.74093,1.62316,1.49233,2.27479,1.61141,1.77479
APCDD1L-DT,11.5136,3.51058,11.5716,5.481541,4.660445,7.528234,4.940936,5.786153,8.204805,6.093744,1.74186,1.74314,1.89876,2.98481,2.2046,1.54292
GIHCG,6.48264,6.74699,5.0703,6.819256,7.359755,6.991119,7.512802,9.252438,8.967623,9.502203,1.70724,1.62316,1.66584,1.77271,1.91778,2.29361
LOC441666,3.87027,1.72217,15.0447,4.282747,4.535102,4.866798,4.592237,4.926816,4.618689,4.792036,1.81373,1.62952,1.74436,1.6583,1.89603,1.46705
SPIRE1,10.517,20.2969,37.5456,6.56519,7.595173,7.313544,6.914706,7.650757,6.765153,6.291881,3.13782,2.43784,2.86183,2.82396,2.81252,2.31797
LOC101929622,9.42651,10.3607,18.3122,7.392377,4.441417,5.834497,6.507222,2.803248,3.774343,3.170451,2.33764,2.5103,2.41369,2.9476,5.66428,4.74058
LINC01093,7.2479,13.5536,4.57108,7.388423,5.792456,5.791178,7.060919,4.706899,4.533271,4.938667,2.18018,1.62316,1.96347,2.95194,2.14962,1.97189
CHDH,2.26039,4.71,3.59585,6.627384,10.10384,10.2984,8.023345,10.62278,11.52902,10.51515,1.79278,2.1911,1.69334,3.39116,1.46469,1.72851
LINC02860,13.5255,11.1797,14.8845,9.486186,6.156975,10.10633,7.852252,8.543976,9.664339,9.308789,2.08956,1.91286,2.02644,3.23912,1.83429,2.1425
GRTP1-AS1,7.02276,8.083,6.75921,6.033853,4.718425,5.324089,6.63341,8.634031,5.84217,4.624643,1.5793,1.85022,1.67007,1.87847,1.97269,1.57823
MAMDC2-AS1,8.68641,7.35567,15.0659,8.127324,5.717278,5.858989,7.573737,5.006883,5.994442,5.566947,1.60211,2.22796,2.14129,2.43454,2.00693,2.15049
AOPEP,11.5659,15.5237,9.21896,6.714213,4.902812,6.027643,5.777377,5.253517,5.690309,5.42537,1.54872,1.67807,1.54724,2.94988,1.63982,1.90799
LINC01537,11.9744,2.37295,14.4911,5.650517,4.047287,4.337924,4.780303,5.823656,3.464099,5.151465,1.77091,1.38622,1.83533,2.14552,2.00019,1.44891
TBX18,10.7863,13.1698,8.6145,4.497355,7.229489,7.89247,4.862696,9.30298,6.326644,8.736909,1.55617,2.19801,1.63369,2.13202,1.48072,1.5324
NSUN4,11.6318,9.19208,15.6267,3.41463,4.760616,4.706101,2.765093,6.994628,7.25942,6.818645,2.11452,1.94012,2.20604,2.72004,2.02694,1.78615
ZNF605,4.48731,1.04397,3.08086,5.037878,6.45736,6.436522,5.612436,7.131157,7.800172,7.382349,1.44659,1.96708,1.52744,1.48343,1.78863,1.52418
GRIK1,13.3887,13.9066,12.8138,6.364952,6.158702,5.387178,5.536662,7.251585,7.863166,8.02367,2.08045,1.8736,2.28732,2.00057,2.25214,2.54269
LOC101928211,11.4885,14.6286,18.8985,6.029776,8.958487,7.780964,6.150073,8.245722,7.601763,7.239255,1.90297,1.59036,1.62996,2.71188,1.92592,2.24854
DDX42,12.5338,11.9473,8.64337,7.485898,6.325138,6.067863,7.360403,5.172897,6.136394,6.000581,2.15643,2.35805,2.49951,2.45516,3.03635,2.65572
ZFHX4-AS1,4.19719,4.80187,4.97306,7.121665,9.676744,9.782824,6.737325,9.680853,10.23257,9.856513,1.89158,1.5918,1.87732,1.57662,1.79122,1.51111
PDXDC1,11.24,6.92662,15.1211,6.155777,8.154274,6.982299,4.766076,8.377233,7.355724,6.003594,4.12865,4.53298,3.9112,4.02466,3.92936,4.43437
LOC339260,10.2581,36.8162,20.6089,4.103106,4.112738,3.282429,3.730545,4.87668,3.278937,3.518937,2.28029,1.62697,1.86468,3.30241,1.71858,1.54833
LRRC77P,6.29317,12.5307,11.4708,5.223738,4.505352,4.544812,4.986886,4.756153,5.447748,5.195573,1.72558,1.78877,1.72341,2.05956,1.6832,1.6832
LOC101927066,12.4297,11.3717,18.0518,3.275663,2.740502,4.505372,3.583461,3.22249,2.666275,4.171366,1.60627,1.90141,1.5484,2.11011,2.0478,1.72216
ZC2HC1A,11.1234,4.96269,11.5766,8.804975,11.70728,11.51918,7.938508,11.02861,10.09477,9.621953,1.6583,1.72093,1.78604,2.34219,1.78941,1.92255
CSTF3-DT,5.59909,4.9271,6.68321,6.290652,5.292483,5.157123,6.139556,6.274328,6.331732,6.405009,1.58463,1.53143,1.52497,1.882,1.42303,1.54376
GRIK2,7.50176,19.0615,22.3527,9.46911,10.10399,9.449383,10.22662,10.11761,10.41593,10.74604,1.47723,1.53804,1.95993,2.71188,1.93578,1.97205
LOC105376037,4.4642,5.95657,6.37661,5.876051,5.398938,4.914107,5.330601,7.213361,4.161958,4.192171,1.48809,1.70867,1.52667,2.30991,1.51741,1.49524
PTPRD-AS1,9.8997,15.5148,6.41443,4.823376,3.735329,3.415699,4.830509,3.418892,3.437197,3.569293,1.67487,1.9234,1.946,2.17452,2.09188,2.05576
NR5A2,9.51586,8.84987,10.8276,5.182878,6.266339,5.505272,6.264138,6.553022,7.314307,7.141482,1.65303,2.08956,1.7336,2.65681,2.32991,2.06209
LOC102546299,8.04959,9.58367,3.49782,5.668885,8.464397,7.921364,5.79962,6.956037,6.815629,6.235657,1.71004,1.8937,1.85847,3.56333,2.21305,2.14975
TMEM26-AS1,13.1542,21.848,20.5424,5.381058,8.282809,8.609632,4.999183,9.38696,9.19313,7.756187,1.89361,1.70779,1.91864,1.87923,2.14269,1.99352
MCM3AP-AS1,13.0188,14.704,22.8616,5.08549,4.828413,4.186667,4.943768,4.438114,3.850858,4.029315,1.94012,1.93196,1.89706,2.71188,2.23136,1.93877
TEX49,10.7765,18.5242,13.6741,5.045226,8.018886,7.083645,5.034549,6.925639,6.823558,6.849033,2.10729,1.79211,2.29286,2.24897,1.92736,1.90799
TSPYL1,10.6355,20.8891,6.8329,10.05827,12.02406,12.078,10.77934,12.15553,11.36452,12.17557,1.34427,1.48163,1.66584,2.59296,1.66584,1.61345
LINC00342,13.9518,32.566,30.0763,7.571251,5.381353,5.953191,7.766203,5.129383,4.734657,4.672233,6.99743,6.03077,7.12825,7.51591,8.16286,7.60453
WHAMMP2,4.1397,9.53952,13.5725,5.216646,7.171081,7.479551,5.557885,7.326254,7.18881,7.845745,2.86183,2.56783,2.87054,3.78093,3.35171,2.98155
NBEAP1,9.68978,15.4939,68.3499,3.811587,5.514602,5.297289,3.723308,6.743872,6.039547,6.551638,1.79278,1.76916,1.99379,2.29927,2.10424,1.79327
LINC02250,10.0879,11.8334,10.3976,7.45154,5.911433,6.298273,7.545597,5.951442,5.265395,4.679541,1.90242,1.62316,1.71524,2.61448,1.74214,1.66772
LINC01527,7.88699,7.76509,10.0679,5.481422,8.790431,7.312734,6.437835,6.738299,6.347492,6.350135,1.7488,1.60232,1.76916,2.91061,2.22559,2.71574
TMEM132D-AS2,12.4452,11.4166,23.0882,5.443357,9.70992,9.723707,4.525045,10.4488,9.843281,10.18268,2.20981,1.92476,2.26574,2.22173,2.03578,2.51702
SLC17A1,3.20305,7.79426,27.9943,2.839389,3.943148,3.603185,3.033513,6.00575,5.243358,5.875165,1.86085,1.84666,1.67137,1.63735,1.65822,1.87561
ASTN1,10.8962,6.62447,14.9221,8.275497,5.213128,5.526099,8.431929,4.9017,5.056643,4.34942,1.85225,1.78264,1.79207,1.69465,1.6562,2.25378
PPARA,11.173,10.0693,10.2747,4.177147,4.108188,4.965837,4.567746,4.219967,3.773093,4.862921,1.74814,2.03752,1.83647,1.86152,1.946,1.94716
CDKAL1,6.98403,8.56409,12.6609,6.672735,10.57747,11.54603,7.66712,9.525491,6.991503,7.560408,1.65501,1.59054,1.86695,2.42605,1.63888,1.49134
TMC7,13.1365,15.0391,34.4092,4.771914,5.625271,6.763381,6.274768,7.168855,6.432124,7.441527,1.70233,1.52908,1.85321,1.91776,1.46486,1.47252
LINC00691,14.4405,8.91315,15.6597,8.491007,8.670926,10.08815,9.211072,9.940598,5.618149,7.01825,2.22664,2.05505,1.75709,4.54932,1.98311,1.94497
DEPDC4,11.6483,15.1855,7.40932,6.533605,9.6862,8.510597,6.985804,8.148774,6.658242,7.743385,1.54933,1.75521,1.89717,1.63735,1.75028,1.5491
GYPE,4.64418,5.23122,10.4667,6.328416,6.90199,7.808208,5.503369,7.711251,9.089548,7.994974,1.43064,1.53376,1.5507,2.71188,1.67566,1.45426
GYPE,6.73525,6.82524,12.0608,7.395638,8.594962,7.967197,7.217893,8.720139,7.337513,7.757117,1.85537,2.08335,1.74214,3.03533,2.0883,1.78508
GVQW3,10.7646,10.1538,17.4357,6.071437,10.67248,11.2058,5.914687,10.29523,9.949339,9.960565,1.87782,2.03309,1.65773,2.87729,1.7806,1.97529
LINC01360,14.3273,6.13072,9.63429,7.745694,7.467826,6.302939,7.308962,6.735828,6.299493,5.214085,1.85788,1.40919,2.20604,2.90275,1.946,1.76032
LINC00485,3.72552,2.67507,4.18306,8.352255,8.982077,9.345127,8.135275,10.31667,7.776786,9.837623,1.56695,1.71519,1.7446,1.84487,1.65741,1.40706
CASC11,12.8362,14.1887,17.6517,9.87442,10.75862,10.10224,10.02455,10.11201,10.5473,10.03107,2.47784,2.57435,2.54108,3.7872,2.91789,2.77703
LINC01581,6.21161,5.17417,2.16347,5.537941,5.691862,6.37827,5.051878,6.736983,5.741881,5.215704,2.06457,1.74413,1.84074,2.49351,1.78294,1.86561
LINC01692,10.2651,9.49083,9.46252,4.74349,3.66722,3.583384,3.835586,5.041235,4.834179,4.819136,1.46723,1.78359,1.72341,1.81233,1.56578,1.32101
MIR3663HG,14.1693,17.2311,21.8642,7.652305,7.367414,7.147161,7.565262,6.869147,6.922581,5.578391,1.65825,1.62316,1.77439,2.76286,1.56309,1.70928
DSG4,7.30574,5.00375,7.09595,6.595237,5.296535,6.682058,6.866656,5.255546,4.89224,4.81815,1.39304,1.59457,1.67323,2.84998,1.80976,1.62922
LOC105378311,7.27315,3.72983,5.09021,8.507875,7.535816,7.921364,8.005888,7.190152,7.449979,6.893401,1.61658,1.71779,1.99021,3.32826,1.69369,1.93384
LINC01777,7.198,2.86408,5.18148,5.324478,5.713749,3.916593,4.432728,4.822598,4.912278,4.422915,2.06825,2.02432,2.32723,2.42033,2.46708,2.08956
EPHA6,14.9567,10.4782,17.6145,4.035028,7.970093,7.724492,4.998735,7.625469,5.70401,6.893407,1.55781,1.90993,1.72341,1.65884,1.55789,1.79036
MCHR2-AS1,8.14206,7.01197,2.81969,6.70914,5.611621,5.46051,6.523843,4.914249,4.940311,4.911161,1.58321,1.85524,1.77665,1.81075,1.8986,1.49499
ROCK1,7.34467,13.2378,16.788,8.868142,10.75791,10.14098,8.403067,10.5049,10.70453,11.00957,1.86971,1.95449,1.68232,1.75848,1.65023,1.76971
MYLK4,12.1418,5.19637,4.34946,6.487941,5.260012,5.608467,6.33432,5.074165,5.015494,5.288826,1.81615,1.94012,2.41369,3.05026,1.94012,2.62031
LOC101927310,12.8063,17.7685,20.4855,5.128533,4.090961,4.71363,3.912755,4.105426,3.32151,4.246078,2.12058,2.5103,2.20604,2.86734,2.01213,2.27411
LINC02864,11.1529,8.18094,13.9933,9.059871,11.38029,10.8504,9.050048,10.25172,9.634073,10.2552,2.00105,1.76916,2.11566,2.71477,1.43746,2.15049
S100B,8.75067,4.24072,7.38781,10.27614,11.57832,11.52522,10.74534,11.22222,10.12786,10.38659,1.65194,1.60953,1.65194,2.7873,1.53846,1.90799
LINC02070,9.08589,16.9873,13.848,4.858237,9.572176,9.161791,5.529759,8.555154,6.838932,8.095415,2.08956,1.59764,1.73208,2.35622,2.69074,2.60841
LOC101928012,7.42081,10.0319,12.2727,4.743505,9.386248,10.83195,6.111099,9.126231,5.81385,5.798599,1.71321,1.67148,1.87082,2.50699,2.61762,1.40706
MIR548XHG,11.2773,19.6366,20.4431,5.189859,10.30876,10.24307,6.302166,11.73718,10.44503,10.50728,1.82864,1.65162,1.83884,2.911,1.81354,1.62697
SLC8A1,8.22372,4.24994,6.96665,4.904249,4.890556,4.600178,4.846421,4.129402,4.525552,4.554668,1.86353,2.02669,1.8575,2.91085,1.77567,1.88924
HMGA2,4.89068,10.713,15.3275,7.670414,8.943432,5.704938,6.207476,7.242,7.993859,8.642544,1.94012,1.68909,1.78096,2.3425,1.69937,1.98235
C12orf40,13.2745,12.2156,16.2312,10.71349,10.23587,10.67176,10.89273,10.53378,10.99826,11.16946,1.5448,1.75911,1.65964,2.57535,1.74759,1.77144
SYTL3,8.64089,7.47204,8.21021,3.763758,4.087563,4.220372,4.620507,8.014805,8.533237,7.594021,1.68951,1.80003,1.82428,2.45071,2.46539,2.39731
DYNC2H1,13.6502,16.9818,45.0747,3.037663,7.153649,5.805655,3.451993,7.86738,7.16968,8.204327,1.76837,1.76399,1.75499,1.93292,2.22619,1.92814
JAK2,12.1522,16.2357,9.60003,5.403198,7.211441,5.694954,5.228088,7.410557,7.713682,8.41113,1.79278,1.68136,1.68857,2.12382,2.03871,1.92355
GALNT7-DT,14.1386,19.8089,18.7209,9.211494,11.05863,10.89194,8.442153,10.48915,10.04076,9.922699,1.85233,1.6008,2.13443,1.71361,1.97358,1.75746
SLMAP,9.96118,10.7276,17.4726,7.576213,9.867,9.697005,7.398552,10.12187,7.915483,8.213673,1.7806,1.75697,2.0231,2.3574,1.97902,1.61479
IWS1,14.8628,18.3512,21.3431,5.877922,6.207802,7.354543,6.92522,8.395035,6.184986,7.948195,2.86763,2.08956,3.85569,2.342,4.99851,3.26401
LINC02670,13.4794,13.0568,8.31375,7.210623,6.515388,7.211047,6.386646,8.014862,7.233007,6.814775,2.172,2.00344,2.15059,2.30207,1.77694,1.98508
LINC02297,4.62519,1.90217,2.55263,4.353205,3.222465,3.474247,4.466938,3.006746,2.789946,2.843024,1.5304,1.61237,1.85542,2.75614,1.5549,1.64312
VWDE,11.9291,50.1396,11.4366,5.773298,6.969112,9.458945,6.547271,8.705602,7.960741,7.305381,2.52103,3.61173,4.579,3.85916,3.23854,2.65323
KAT6B,11.4454,8.02734,4.17182,5.413483,5.581422,6.566553,4.140937,6.405442,4.400364,5.709059,1.8695,1.75753,2.04715,2.71188,1.74214,1.53956
ARHGEF7,7.05677,19.5441,9.96859,6.049568,5.095125,5.351066,5.605894,5.02231,5.29684,4.897923,3.11533,4.22219,3.21231,2.52292,2.84149,2.54645
SNTG1,1.5727,5.12542,6.13541,5.784568,4.675533,4.978579,5.281278,8.29175,9.195872,6.782842,1.83074,1.68843,1.76136,2.02535,1.43843,1.80307
CSMD1,12.4061,12.6475,17.5277,7.817197,6.513205,5.562856,7.256912,4.197358,7.024523,5.415761,1.69864,1.7795,1.74747,2.18171,1.35722,1.80988
TRAPPC2,14.5418,19.9805,17.4843,6.609033,3.724456,3.237785,8.487928,10.51376,11.25971,10.19337,2.00257,1.97359,2.18686,2.28257,2.80499,1.98591
SLC7A14-AS1,14.2383,7.12288,16.3913,6.37627,5.452341,4.78028,5.827652,6.639796,6.279581,6.835733,1.67294,1.76916,1.53367,2.79879,1.74214,2.08838
HLA-F-AS1,13.4079,14.0928,43.7941,5.912204,8.743631,8.255491,6.526822,8.981656,9.324677,7.43486,1.79278,1.62412,1.42317,2.4151,1.70492,2.11723
PCDH10-DT,2.0699,1.62007,8.30182,5.638844,4.51012,4.258732,5.32681,6.166636,8.226379,8.817625,1.74441,1.70928,2.13578,1.97319,2.11065,1.58393
GPR89B,13.9184,16.3947,10.2287,7.322514,4.996395,5.667452,7.421046,4.824788,5.678857,6.488395,2.66664,2.17647,2.96788,4.24932,2.30842,2.76385
MEIOC,8.92003,172.315,14.2095,7.391689,6.86356,6.635982,8.637647,8.082878,9.353813,9.020067,2.19938,2.4158,1.94524,2.34039,2.02335,1.96403
SMPDL3A,13.8242,16.304,24.2693,9.466881,5.591365,11.17212,11.17135,11.84245,11.46547,12.03832,1.7738,1.84304,2.28251,2.23173,1.9358,1.85537
LINC00437,7.19757,4.94961,2.66511,6.50054,9.612041,9.648644,7.198036,8.995287,9.153848,10.19808,1.76581,1.72819,1.72341,2.39648,1.82337,1.84636
SAMD12,13.7067,14.5434,20.212,6.12934,4.197711,4.769516,6.372272,3.814278,3.368749,3.428255,1.91587,2.37906,2.5509,2.62475,1.99971,1.87036
MTHFD2L,8.35163,8.82583,6.53553,9.218977,9.106431,8.715875,9.524434,9.656809,9.005449,9.288706,2.27648,1.76916,2.14778,3.6074,1.96329,1.76512
FRYL,13.9348,13.7101,10.63,5.980708,9.411143,9.805676,6.773966,10.01367,9.722782,9.704908,2.0339,2.08956,2.49578,3.64595,2.24459,1.95142
NMRK1,11.3916,16.9517,8.99235,6.323924,8.256075,8.981055,6.20611,7.299528,4.54215,7.363308,1.68286,2.25366,2.13441,1.93282,2.22663,1.96389
C3orf56,11.718,11.1359,7.74698,6.91794,4.966299,10.71403,7.619609,8.553296,5.815742,7.973453,1.78226,1.43832,1.94217,2.69475,1.67561,1.94926
LOC101928277,12.4317,17.5183,9.00034,6.904397,8.314825,7.137115,6.624585,8.593684,8.099743,7.979156,3.39582,3.3522,3.60044,5.45535,3.43632,3.6926
CTD-2194D22.4,13.5518,18.0233,19.3274,6.941473,8.168133,8.527885,6.737358,8.677237,7.516977,7.564572,1.81649,2.08956,1.78525,4.14882,1.89877,2.05234
EOLA2-DT,6.53989,9.7843,13.5691,8.113555,8.166523,8.092378,8.457445,8.527782,7.788573,7.439476,2.01143,1.96063,3.07527,3.22065,3.79988,2.91429
LINC02211,1.52165,3.346,0,8.217913,5.414556,5.54794,7.426063,4.604428,4.526438,4.153496,2.1033,1.73692,1.98517,2.55983,1.74214,1.84921
MIR4435-2HG,2.67031,2.83182,0.770483,5.726421,7.019972,4.384521,5.992681,8.226018,9.581479,8.445314,1.76362,1.51817,1.60561,1.74267,1.52152,1.76512
LOC101927723,10.0051,10.6193,11.1546,7.142249,8.02854,7.166009,6.506248,7.546069,7.304445,6.548878,1.95963,1.66609,2.06137,2.67108,2.1685,1.94753
LINC00102,11.5606,10.598,11.8468,6.894904,8.385571,8.718541,5.080977,8.144442,8.543271,8.791019,1.57665,1.98723,1.6583,2.16011,1.60054,1.79995
LINC00564,11.1036,11.9637,17.7348,5.604401,4.381077,5.271348,4.563131,4.846516,4.569026,4.875654,1.75846,1.6652,1.77873,2.22173,1.76508,1.97819
ZNF292,4.06357,8.18028,9.5585,3.674859,6.82239,5.551934,3.982752,6.758196,4.894545,5.739797,1.47763,1.89077,1.71524,2.15509,1.65381,1.73402
LOC105374042,11.9569,11.1413,19.7143,8.302387,7.111204,6.391898,8.191719,6.727707,6.213354,5.508776,1.69641,1.89319,1.81678,1.84893,1.55674,1.64764
CCDC13-AS2,7.43835,7.29794,35.4373,5.488592,4.931348,4.844061,5.185153,4.30519,4.304195,4.387979,1.75273,1.67566,1.78254,1.88747,2.02457,1.55845
LINC00486,5.91336,7.59338,13.8309,8.30835,6.704489,6.026412,7.270489,5.612051,5.864137,5.657408,1.74214,1.80295,1.69281,2.30419,1.946,2.15635
ARNTL2-AS1,12.4835,8.14517,12.6813,4.720745,3.91012,4.212978,3.868307,6.735777,6.903482,7.496223,1.55826,1.62338,1.7766,1.88747,2.45074,2.00228
F11,11.8208,22.6181,15.8456,6.587071,11.06479,11.2058,7.823715,10.05151,9.345487,10.70427,2.01381,1.69976,1.87103,2.71188,1.79839,1.87494
FAM170B-AS1,14.2937,27.4935,34.0438,4.441086,11.45706,10.20904,5.427419,10.72408,10.79788,10.84461,1.73694,1.71332,1.60939,2.38116,2.27357,1.66802
