Gene,GSM461348,GSM461349,GSM461350,GSM1634925,GSM1634926,GSM1634927,GSM1634928,GSM1634937,GSM1634938,GSM1634939,GSM1701025,GSM1701026,GSM1701027,GSM1701038,GSM1701039,GSM1701040
FAM98B,1.45635,3.97637,2.40278,8.200375,11.03413,10.98129,8.57637,11.59975,10.54117,10.31353,1.53892,1.60975,1.71775,2.01185,1.86652,2.20236
SYT14,12.212,6.76507,13.1823,6.87522,10.76061,10.50655,6.827641,9.191998,9.799211,9.777072,1.71891,1.49878,1.9533,2.87916,2.0923,1.66527
CCSAP,14.1743,24.3843,18.3597,3.76683,6.402137,4.906239,3.540054,6.719461,6.994478,7.252786,2.04397,1.85705,1.83387,2.14796,1.946,2.08956
CCSAP,14.3254,22.9394,39.6714,5.207006,6.887111,6.303273,5.937577,5.657937,3.196703,4.343472,2.10811,1.64023,1.84174,2.1236,1.74214,1.86311
RNF152,11.7198,9.96884,11.5945,5.160488,7.191011,7.112169,4.503591,6.760617,6.865376,7.938391,1.86066,2.22726,1.86066,3.07351,2.05383,1.83058
TBC1D32,14.1584,19.9024,21.7356,4.737209,9.401676,8.771082,6.254161,10.13329,9.955357,9.611286,2.54305,2.5349,2.20854,1.93928,2.5103,2.16429
KLHL32,13.9338,12.3752,11.2103,7.295267,5.66174,5.972909,7.15623,5.769412,5.524334,5.208018,1.98179,2.14381,2.20604,1.88747,4.13831,5.32857
GK5,14.6239,29.3809,24.938,8.242715,6.271041,6.527529,7.48283,6.2222,6.241179,5.898618,3.0584,3.02326,3.59653,3.20784,4.95439,3.62314
ZC3HAV1L,4.22906,8.3295,24.227,8.732754,7.519245,7.955413,9.625336,9.420149,10.95722,11.09964,1.76267,1.72753,1.72341,1.94533,1.4534,1.49318
RASGEF1B,9.86265,12.2363,21.3566,4.604886,3.989686,7.542867,3.678581,4.587005,2.747751,4.832862,2.29515,2.29224,2.14596,2.92721,2.47846,2.45022
RTP1,7.61949,7.13118,10.0037,9.083075,6.470557,6.667119,8.344267,5.734729,6.929355,7.020113,1.63149,2.13505,2.04457,3.19629,1.63765,1.79951
MAGEA2B,14.2148,13.821,15.3974,2.87195,7.850211,6.766792,3.310504,6.591093,5.118658,4.989997,2.72938,1.93196,2.14554,1.88747,1.8195,1.65718
SPIC,5.84918,9.83319,4.16771,7.847738,5.857724,7.919228,7.926777,7.688455,7.439077,7.086455,1.79278,1.62316,1.86644,2.02107,1.42497,1.62697
KIAA0825,11.6703,7.1492,11.3358,3.618061,2.933435,3.492055,4.256289,3.375019,5.037389,4.63891,1.56961,1.44303,1.38224,2.05056,1.946,2.07108
CFAP65,6.47191,8.79897,9.86857,5.32623,5.597715,5.592758,5.314418,5.145592,4.969266,5.353823,1.60297,2.29224,1.6906,4.05436,2.03099,2.23692
LINC00955,11.2494,13.9744,15.909,6.533717,8.951978,8.1184,6.761069,7.916324,8.559631,7.605648,1.78215,1.79035,2.04807,1.92698,1.36885,1.68753
C10orf126,2.77595,0.553364,2.96209,11.71736,9.828043,10.22176,11.62709,9.647788,9.31298,10.66957,1.57599,1.5088,1.48771,1.88747,1.946,2.00726
RHOB,13.4227,15.5551,10.1999,6.339111,6.379054,6.496256,5.909349,6.36063,7.221452,7.06362,1.66367,1.82185,1.71506,2.22173,1.8935,1.83417
TTC37,6.76152,7.76403,10.2657,5.165954,4.546484,6.585519,5.099734,6.788826,5.067302,6.328518,1.94012,2.09142,1.85318,2.94955,2.72097,2.09524
SPIN3,4.93418,5.26843,7.15448,11.47596,9.12034,9.590469,11.19713,9.891545,10.6307,9.617575,2.76427,2.94728,3.18439,3.09715,2.95139,2.89288
SSH2,5.74471,8.31932,17.5863,6.796712,8.013318,6.599617,7.251521,6.922588,8.363332,7.669524,2.32755,2.29224,2.96289,2.67383,3.11839,2.51325
CCSER2,11.3217,31.9146,32.057,3.128073,2.296617,2.292062,3.199566,2.657837,3.681717,2.534104,1.53701,1.49529,1.60561,1.63735,1.63063,1.96819
RUFY2,9.02486,10.7624,29.7428,8.312726,12.49268,11.90637,9.209616,9.965131,10.5742,9.813792,1.5848,2.06638,1.72341,1.39876,2.32775,1.72732
SUGT1P3,6.70906,9.47848,5.93454,8.592112,6.988486,7.49933,7.263972,5.73805,6.157535,6.302474,1.35002,1.66319,1.60411,2.26176,1.43166,1.55168
ERAP2,12.929,17.4987,10.927,4.577514,9.12565,6.338218,4.594341,6.941198,6.579693,7.158159,1.56244,1.75765,1.7401,3.14165,2.22269,1.83704
